master_id,original_id,problem_name,category,stakeholders,root_cause,severity,frequency,impact,innovation_opportunity,one_line_solution,existing_solutions,existing_gaps,technology_tags,undp_alignment,bangladesh_relevance,source_agents,consensus_count
MPRB-0100,PRB-Q-004,Pervasive False Cases Under Nari O Shishu Nirjatan Daman Ain for Land and Property Leverage,Q. Fraud Problems,Wrongfully Accused Citizens; Nari O Shishu Tribunals; Genuine Female Victims,Stringent non-bailable provisions of the Act are weaponized by families in land disputes to arrest entire households of rivals (including in-laws).,9,9,10,9,Early AI Plausibility & Cross-Dispute Graph Auditor flagging complaints filed during active property litigations between the same extended families.,Section 17 statutory penalty for false complaints; police preliminary inquiry under Section 180 CrPC.,Preliminary inquiry is bypassed through Thana bribery or direct Tribunal filing; innocent families spend months in prison; discredits genuine rape survivors.,Knowledge Graph Analysis; Entity Cross-Referencing; Litigation History Mining; Tribunal Intake Filter,3,10,Antigravity,1
MPRB-0101,PRB-Q-005,Ponzi Scheme and E-Commerce Fraud Disappearance Without Asset Recovery Pathways,Q. Fraud Problems,Defrauded Online Consumers; CID Financial Crime Wing; Cyber Tribunals; Commercial Banks,"Scam e-commerce platforms (e.g. Evaly, Dhamaka, RingID) siphon citizen funds via mobile financial services (MFS) and offshore shell companies before police freeze accounts.",9,8,9,9,Automated Multi-Agency Fraud Asset Freeze & Collective Consumer Restitution Protocol (RestituteBD) triggering algorithmic payment escrow holds.,CID bank freezes; physical Consumer Rights Protection Directorate (DNCRP) complaints; criminal fraud cases.,Asset recovery is almost zero; victims spend years attending criminal trials while stolen funds sit untouched in escrow or foreign crypto wallets.,MFS Escrow Integration; Automated Asset Interception; Collective Action Claim Portal; Blockchain Forensics,4,9,Antigravity,1
MPRB-0102,PRB-Q-006,Fabricated Medical Injury Certificates Sold by Corrupt Emergency Medical Officers,Q. Fraud Problems,Civil Surgeons; Hospital RMOs; Assault Litigants; Criminal Defense Counsel,Corrupt doctors issue fabricated 'grievous hurt' certificates (Section 326 Penal Code) for minor scratches in exchange for bribes to make offenses non-bailable.,9,8,9,9,Standardized Digital Trauma & Injury Photographic Documentation Vault with automated forensic wound-aging validation.,Medical board reassessment orders; cross-examination of medical officers.,"Reassessment boards take 6-12 months, by which time wounds have healed; doctors collude to protect each other; innocent defendants remain jailed.",Forensic Image Analytics; Wound Severity Classifier; Tamper-Proof Photo Capture; Hospital EMR Integration,3,10,Antigravity,1
MPRB-0103,PRB-R-001,Inability of Citizens to Track Case Progression Remotely Without Physically Visiting Court,R. Case Tracking Problems,Litigants; Rural Citizens; Under-Trial Families; District Courts,District court cause lists are handwritten daily on wooden boards or pasted outside courtrooms; online portals are often days late or down.,9,10,9,9,"Proactive Omni-Channel Case Milestone Tracker delivering automated date, order, and stage updates via SMS, WhatsApp, and automated voice calls.",Calling lawyer's clerk (Mohori); checking mycourt.gov.bd (frequently out-of-date); visiting court in person.,Mohoris charge money for basic date updates; mycourt website suffers frequent database timeouts and lacks automated mobile push notifications.,Automated Scraper / Webhooks; WhatsApp Business API; SMS Gateway; Bangla IVR Push,3,10,Antigravity,1
MPRB-0104,PRB-R-002,Complete Blackout on Police Investigation Progress After Lodging an FIR,R. Case Tracking Problems,Victims / Informants; Thana Duty Officers; Investigation Officers (IO); Magistrates,"Once an FIR is registered under CrPC 154, the case file enters police secrecy; IOs operate with zero accountability until Final Report or Charge Sheet is submitted.",9,10,9,9,Transparent FIR-to-ChargeSheet Police Investigation Telemetry Portal with mandatory milestone logging and victim visibility.,Physically visiting Thana; bribing the IO for updates; filing Naraji (protest) petitions before Magistrates.,Victims have no idea if evidence was gathered or if suspects were questioned; IOs secretly collude with the accused and file final reports behind victims' backs.,Police Case Management API; Mandatory Milestone Logging; Informant Notification Engine; Statutory Timeline Alerts,6,10,Antigravity,1
MPRB-0105,PRB-R-003,Untracked Stay Orders and Interlocutory Injunctions Freezing Trials for Decades,R. Case Tracking Problems,District Judges; High Court Division; Litigants,"High Court issues temporary stay orders on lower court proceedings; stays are forgotten, files gather dust, and district courts pause indefinitely.",10,9,10,9,High Court Stay Order Lifecycle Monitor & Expiry Auditor automatically revoking expired interlocutory stays and notifying subordinate judges.,Opposite party filing High Court vacating petitions; manual file searching in High Court Section.,Hundreds of thousands of district trials frozen by 6-month stay orders that were never formally extended yet remain unlisted for 15+ years.,Automated Rule Engine; High-Court-to-District Sync Bus; Injunction Lifecycle Manager; Docket Reactivation Trigger,3,10,Antigravity,1
MPRB-0106,PRB-R-004,Lack of Multi-Stage Case Age Profiling Leading to Oldest Cases Being Systematically Ignored,R. Case Tracking Problems,District Judges; Chief Judicial Magistrates; Supreme Court Inspection Wing,Judges are evaluated on gross numerical disposal quotas; they resolve 10 easy procedural matters while avoiding complex 15-year-old title suits.,8,9,9,8,Weighted Case Aging & FIFO Prioritization Engine dynamically scoring daily dockets to enforce mandatory hearings for chronic backlog cases.,Quarterly physical statements of cases older than 5 years sent to Supreme Court.,Paper reports are filed without actionable enforcement; 5-year and 10-year-old cases languish while new cases leapfrog them.,Priority Queue Algorithm; Case Aging Metric; Judicial Performance Scorecard; Backlog Dashboard,3,10,Antigravity,1
MPRB-0107,PRB-R-005,Missing Audit Trails for Missing Case Documents within Physical Court Folders,R. Case Tracking Problems,Bench Clerks; Lawyers; Litigants; District Judges,"Physical case files (Guchho) contain loose sheets of paper; anyone with physical access (clerks, lawyers, litigants) can pull out a crucial exhibit.",9,8,9,8,Digital Page Integrity & Hash-Chain Manifest Verifier indexing every page during court scanning with tamper-alert alarms.,Page numbering (Pristankan) written in red ink on file covers; physical inspections.,"Red ink numbers are erased or overwritten; files are discovered missing critical deeds right before final arguments, triggering retrials.",Page-Level Cryptographic Hash; Manifest Verification; OCR Page Counter; Tamper Detection,6,9,Antigravity,1
MPRB-0108,PRB-R-006,Inability to Track Warrant Execution Status Across Inter-District Boundaries,R. Case Tracking Problems,Magistrates; Superintendents of Police; Fugitive Accused; Victims,Warrants of arrest (WA) and proclamation/attachment (WA&P) issued against absconders in other districts are mailed physically to SP offices and lost.,9,9,9,9,National Inter-District Digital Warrant Ledger & Law Enforcement Execution Dispatcher (WarrantNet-BD).,Police warrant registers (Register 21); periodic warrant recall letters.,Fugitives live openly in neighboring districts or Dhaka while lower courts wait 5 years for 'warrant execution reports' before trial in absentia.,Inter-Agency API; Law Enforcement Dispatch; GPS Warrant Tracking; Automated Non-Execution Escalation,3,10,Antigravity,1
MPRB-0109,PRB-S-001,Asymmetrical Information Asymmetry Between Litigants and Hired Advocates,S. Communication Problems,Litigants; Private Advocates; Legal Aid Panel Lawyers,"Lawyers deliberately withhold procedural realities, misleading clients about case strength, impending orders, or invented hearing dates to extract fees.",9,9,9,8,Independent Case Mirror & Client Transparency Portal providing plain-language summaries of daily judicial orders directly to the client's phone.,Seeking second opinions; Bar Association grievance committees (rarely act against members).,Clients have no independent verification channel to evaluate what their advocate argued or what the judge actually recorded on the order sheet.,Order Sheet Scraping Engine; Generative AI Explanation; Direct Citizen Feed; Transparency Shield,3,10,Antigravity,1
MPRB-0110,PRB-S-002,Late-Night Cause List Publication Causing Chaos for Out-of-District Litigants,S. Communication Problems,Rural Litigants; District Bar Advocates; Court Administrative Staff,"Court benches finalize next day's cause lists between 6:00 PM and 10:00 PM, leaving rural citizens with zero time to arrange morning transport.",8,10,8,8,Automated Docket Finalization Alert System pushing instant alerts to lawyers and parties the exact minute a cause list is uploaded.,Phone calls to bench clerks late at night; checking court websites at midnight.,"Frequent website crashes; rural citizens living 50 km away miss 9:30 AM roll calls, leading to default dismissals or ex-parte decrees.",Automated Push Notification; SMS Webhook; Cause List Diff Engine; Cloud CDN,3,10,Antigravity,1
MPRB-0111,PRB-S-003,Lack of Official Judicial Communication Channels Between High Court and Subordinate Courts,S. Communication Problems,Supreme Court Registry; District and Sessions Judges; Chief Judicial Magistrates,"Judicial administrative directions, record requisitions (LCR calls), and circulars are sent via physical dispatch riders or Bangladesh Post.",8,8,8,8,Secure Inter-Tier Judicial Intranet & Electronic Record Transmission Highway (LCR-FastTrack).,Physical letters; emergency faxes; informal phone calls between registrars.,Lower Court Records (LCR) take 6 months to 2 years to be transferred to High Court; appeals remain stalled because physical files are 'in transit'.,Government VPN / Secure Intranet; Encrypted Cloud File Highway; Automated Record Custody Transfer,6,9,Antigravity,1
MPRB-0112,PRB-S-004,Absence of Crisis Communication and Case Status Alerts During Disasters (Floods/Cyclones),S. Communication Problems,District Judges; Court Clerks,"When seasonal cyclones or flash floods inundate district towns, courts suspend sittings without an automated disaster alert channel for litigants.",8,6,8,8,Disaster Emergency Justice Alert Network (DisasterLaw-BD) issuing localized court closure notices and automatic statutory limitation freezes.,Local radio announcements; word of mouth; traveling to court to find waterlogged locked doors.,Poor litigants risk life and limb traveling through floods only to find court closed; uncertainty whether missed dates result in arrest warrants.,Cell Broadcast API; Disaster Alert Integration; Automated Limitation Period Freeze; SMS Broadcast,1,10,Antigravity,1
MPRB-0113,PRB-S-005,Communication Blackouts for Under-Trial Inmates and Their Families (Mulaqat Friction),S. Communication Problems,Prisoners; Family Members; Jail Wardens; Legal Aid Lawyers,"Physical prison visitation (Mulaqat) requires standing in chaotic queues for 6 hours, paying informal bribes to wardens for 5 minutes of muffled talk.",9,9,9,9,Monitored Secure Virtual Prison Video Visitation & Legal Counseling Portal (Bondhu-Mulaqat).,Prison welfare phone booths (Priyojon pilot in select jails); physical visits.,Phone booth pilot is overwhelmed and expensive; no remote virtual video consultation for elderly rural mothers unable to travel to Central Jail.,Secure WebRTC Video Relay; Biometric Identity Verification; Automated Scheduling Queue; Prisons Security Sandbox,3,10,Antigravity,1
MPRB-0114,PRB-S-006,Zero Automated Feedback Loop on Police Harassment for Legal Aid Complainants,S. Communication Problems,Legal Aid Applicants; Thana Police; DLAO; Superintendent of Police,"When a citizen applies for legal aid, police officers dispatched to verify facts often harass, intimidate, or extort the applicant on behalf of opponents.",9,7,9,8,Automated Post-Inquiry Digital Citizen Pulse Survey with automated red-flag escalation to the District Sessions Judge and SP.,Filing physical complaints to SP; NGO intervention.,Applicants are terrified of police retaliation; DLAO receives zero systematic data on police extortion during legal aid intake inquiries.,Automated IVR/SMS Survey; Sentiment & Extortion NLP Flags; Escalation Webhooks; Whistleblower Protection,5,9,Antigravity,1
MPRB-0115,PRB-T-001,Unpredictable Court Time Slotting (All 150 Litigants Summoned at 9:30 AM Simultaneously),T. Appointment Scheduling Problems,Litigants; Lawyers; Judges; Witnesses,"Archaic colonial practice where all cases are called at 9:30 AM; parties must sit in overcrowded, sweltering corridors all day waiting for their turn.",9,10,9,9,Smart Court Time-Slotting & Real-Time Queue Projection Engine (SmartPeshkar) notifying parties 45 minutes prior to their case call-up.,Lawyers wandering court corridors; clerk shouts through door; clients waiting on concrete floors.,Extreme economic productivity loss; medical emergencies among waiting elderly litigants; no time-slot scheduling exists anywhere in subordinate courts.,Real-Time Queue Management; Predictive Time Estimation Algorithm; SMS/App Live Queue Ticker; Courtroom Display Integration,3,10,Antigravity,1
MPRB-0116,PRB-T-002,Arbitrary DLAO Mediation Scheduling Resulting in 60% Session Absenteeism,T. Appointment Scheduling Problems,District Legal Aid Officers; Opposite Parties; Complainants,DLAOs issue notice for mediation without checking opposite party availability or giving realistic transit time from remote villages.,8,9,8,8,Bilateral Interactive Mediation Scheduling Gateway allowing parties to mutually select mediation slots via interactive SMS/WhatsApp.,Repeated postal summons; rescheduling for the following month; closing files for non-appearance.,Opposite party ignores summons or claims never received; complainant wastes entire days; mediation fails before it even begins.,Conversational Slot Selection; SMS Interactive Two-Way Protocol; Calendar Synchronization; Automated Attendance Reminder,3,9,Antigravity,1
MPRB-0117,PRB-T-003,Inability to Schedule Virtual Jail Consultations Between Advocates and Detained Clients,T. Appointment Scheduling Problems,Defense Advocates; Incarcerated Defendants; Jail Staff,"Lawyers must physically travel to jail gates during limited morning hours, navigate corrupt gatekeeper staff, and often get denied access.",8,9,9,9,Dedicated Advocate-Inmate Virtual Legal Interview Booking & Video Booth System (LegalMulaqat).,Physical jail gate visits; informal advocate clerk connections with prison guards.,Lawyers cannot take instructions before crucial bail or trial hearings; defendants appear in court without having spoken to their counsel for months.,Time-Slot Reservation Engine; Bar Council Authentication; Secure Video Conferencing; Prison Audit Sandbox,3,10,Antigravity,1
MPRB-0118,PRB-T-004,Witness Summoning Chaos in Sessions Trials Leading to Trial Collapses,T. Appointment Scheduling Problems,Sessions Judges; Public Prosecutors; Prosecution Witnesses (PW); Defendants,"Judges issue witness summons for 10 witnesses on a single day without staging; witnesses travel from far away, wait all day, and are sent back unexamined.",9,9,9,8,Dynamic Staged Witness Summons & Confirmation Engine prioritizing witnesses based on trial schedule and real-time testimony tracking.,Prosecution witnesses waiting on wooden benches; re-issuing bailable warrants of witness arrest.,Harassed witnesses refuse to return for subsequent dates; key murder and rape trials collapse due to 'hostile' or missing witnesses.,Staged Summons Engine; Witness Confirmation Two-Way SMS; Dynamic Re-scheduling Algorithm,3,10,Antigravity,1
MPRB-0119,PRB-T-005,Chaotic Appointment Booking for Sub-Registry Land Deed Registrations,T. Appointment Scheduling Problems,Land Buyers & Sellers; Sub-Registrars; Dalil Lekhok (Deed Writers); General Public; AC Land Officers; Deed Writers,"Deed registration operates on a first-come, first-served walk-in basis with hundreds of parties mobbing sub-registry offices on Thursdays and Sundays.",8,10,8,8,National e-Sub-Registry Appointment Booking & Token Management System (e-Dalil Booking).,Paying middleman deed writers to hold spots in line; waiting all day in stifling heat.,Violent pushing; prioritized processing for those who pay heavy 'speed money'; female and elderly citizens unable to execute deeds safely.,Online Token System; Slot-Based Registration; Deed Document Pre-Vetting; SMS Token Dispatch; Automated Rule-Based Workflow; Zero-Discretion Land Verification; Digital Escrow Fee Clearance; Inter-Agency Mutation Mutex,6,10,Antigravity,1
MPRB-0120,PRB-T-006,Lack of Multi-Disciplinary Hearing Coordination for Children in Conflict with the Law,T. Appointment Scheduling Problems,Children Court Magistrates; District Probation Officers; Social Workers; Juveniles,"Children hearings require concurrent presence of probation officers, legal aid defense, social workers, and parents; lack of shared calendar delays cases for years.",9,8,9,8,"Multi-Agency Child Justice Calendar & Automated Quorum Checker synchronizing appearances across judicial, probation, and social welfare departments.",Physical diary tracking; sequential adjournments when one party is absent.,A single missing officer triggers a 2-month adjournment; children spend critical developmental years trapped in legal limbo.,Multi-Party Calendar Sync; Quorum Verification Engine; Automated Escalation; Mobile Notification Engine,2,9,Antigravity,1
MPRB-0121,PRB-U-001,Severe Geographic Maldistribution of Legal Aid Funds Across Districts,U. Resource Allocation Problems,NLASO Headquarters; District Legal Aid Committees; Indigent Litigants,Legal aid budgets are allocated based on historical incremental spending rather than empirical poverty headcount or local litigation backlog ratios.,8,9,8,8,Dynamic Algorithmic Legal Aid Budget Allocator redistributing public funds based on real-time poverty index and pending case velocity.,Annual financial allocations from Law Ministry; supplementary budget requests.,"Impoverished riverine districts (Kurigram, Gaibandha) run out of legal aid funds within 6 months, while wealthy urban districts leave budgets unspent.",Poverty Heatmap Integration; Predictive Demand Modeling; Dynamic Resource Allocation Algorithm; Public Expenditure Analytics,3,10,Antigravity,1
MPRB-0122,PRB-U-002,Acute Shortage of Stenographers and Court Typists Causing Judicial Paralysis,U. Resource Allocation Problems,Judges; Court Clerks; Ministry of Public Administration; Litigants,Bureaucratic recruitment delays; low civil service pay scales for stenographers lead to 40%+ vacancy rates across subordinate courtrooms.,9,10,9,9,"Shared Virtual AI Stenography & Transcription Pool instantly routing courtroom audio to secure, automated transcription pipelines.",Sharing one stenographer between 3-4 judges; judges typing their own judgments late at night.,Severe delays in publishing signed judgments; hearings cannot proceed without a transcriber; judicial productivity plummets.,Bangla Courtroom ASR; Distributed Transcription Pool; Human-in-the-Loop Editor; Judicial Verification UI,6,10,Antigravity,1
MPRB-0123,PRB-U-003,Unbalanced Panel Lawyer Allocation Resulting in Junior Monopolization or Senior Abandonment,U. Resource Allocation Problems,Legal Aid Applicants; DLAOs; Junior Panel Lawyers; Senior Panel Lawyers,Panel lawyers are assigned cases based on personal whims of DLAO clerks or arbitrary alphabetical rotation without matching legal specialization.,8,8,8,8,"Intelligent Legal Aid Case-to-Counsel Matching Engine pairing case complexity, subject matter, and advocate track record.",Manual paper roster; client requests (rarely granted).,"Complex murder or land title trials assigned to fresh law graduates with zero trial experience, while senior panel advocates reject legal aid matters.",Skill & Experience Matching Algorithm; Case Complexity Classifier; Advocate Workload Balancer,3,9,Antigravity,1
MPRB-0124,PRB-U-004,Wasted Judicial Manpower on Petty Non-Cognizable Traffic and Municipal Infractions,U. Resource Allocation Problems,Judicial Magistrates; Metropolitan Police; Citizens,"Minor road transport violations, helmet fines, and municipal licensing infractions are routed to physical magistrate courts, swamping judges.",8,10,8,9,Automated Virtual Petty Offense Court (DigiChallan-BD) allowing citizens to plead guilty and pay statutory fines online without physical court appearance.,Traffic police spot fines; manual fine collection counters at police compounds.,Magistrates spend 3 hours daily recording petty guilty pleas for BDT 200 fines; thousands of drivers lose productive days.,Virtual Summary Trial Engine; MFS Payment Gateway; Automated Fine Disposition; Police Database Sync,3,10,Antigravity,1
MPRB-0125,PRB-U-005,Idle and Broken ICT Hardware in District Courts Due to Lack of Local Maintenance Budgets,U. Resource Allocation Problems,District Court IT Benches; Supreme Court IT Wing; Litigants,Central government projects deliver desktop computers and scanners without recurring hardware maintenance contracts or localized IT technician cadres.,8,9,8,7,Cloud-Telemetry IT Asset Health Monitoring & SLA Warranty Tracker with automated micro-budget replenishment.,Staff paying out of pocket for printer cartridges; computers sitting covered in cloth when power supply blows.,Multimillion-dollar donor-funded digitization hardware rots inside district courts; courts revert to manual paper registers.,IoT Device Telemetry; Automated Maintenance Ticketing; Asset Lifecycle Tracker; Budget Escrow,9,9,Antigravity,1
MPRB-0126,PRB-U-006,Misallocation of Forensic Laboratory Resources Causing Critical Evidentiary Bottlenecks,U. Resource Allocation Problems,CID Forensic Lab (Dhaka); District Police IOs; Homicide & Narcotics Courts,"All viscera, DNA, ballistic, and chemical drug testing must be physically transported to the single central CID forensic lab in Dhaka.",10,9,10,8,National Forensic Tele-Triage & Distributed Laboratory Pipeline with automated sample tracking and preliminary spectroscopic testing at divisional hubs.,Police couriers traveling to Dhaka; physical sample logbooks; informal requests to expedite.,Forensic reports take 1 to 3 years; decomposing organic samples spoil; narcotics trials frozen while waiting for chemical analysis.,Forensic LIMS (Lab Information Management System); Barcode Sample Telemetry; Spectroscopy Analytics API; Inter-Agency Portal,3,10,Antigravity,1
MPRB-0127,PRB-V-001,Non-Standardized Data Entry and Spelling Anarchy in Court Management Databases,V. Data Management Problems,Bench Clerks; Database Administrators; Judicial Statisticians,"Clerks type names, case sections, police stations, and advocate names in free-text fields without validation dropdowns or data integrity constraints.",8,10,8,8,Semantic Auto-Sanitization & Entity Normalization Middleware for all judicial data entry terminals.,Manual proofreading; ad-hoc Excel cleaning by central IT teams.,"Section '302' entered as '302 পেনাল', '৩০২', 'penal 302'; impossible to run aggregated queries or train machine learning algorithms.",Entity Normalization; Input Validation Middleware; Regex Legal Dictionary; Bangla NLP Cleaner,6,10,Antigravity,1
MPRB-0128,PRB-V-002,Complete Absence of Automated Offsite Cloud Backups for Subordinate Court Records,V. Data Management Problems,District Court Registrars; Disaster Management Ministry; Litigants,Data stored on local standalone desktop hard drives or vulnerable district server closets without encrypted off-site cloud replication.,10,7,10,8,Zero-Knowledge Encrypted Automated Cloud Replication Highway backing up subordinate court databases to national sovereign data centers.,Manual periodic copy to external USB flash drives; paper backups.,"Ransomware attacks, floods, electrical fires, or disk crashes wipe out decades of pending trial records overnight with zero disaster recovery.",Automated Cloud Replication; Zero-Knowledge Encryption; Disaster Recovery Pipeline; Air-Gapped Backup Snapshots,6,10,Antigravity,1
MPRB-0129,PRB-V-003,Dark Data and Locked Historical Archives in Pre-Digitization Paper Order Sheets,V. Data Management Problems,Legal Data Scientists; Law Commission; Judges; Citizens,"Over 100 million historical case orders spanning from 1947 to 2020 exist exclusively as brittle, yellowing physical paper in district archives.",8,10,8,9,Distributed Edge AI Digitization Pipeline utilizing specialized Bangla Legal OCR to convert historical order sheets into structured vector databases.,Manual retrieval by record keepers; sporadic donor-funded scanning pilots in isolated courts.,Scanned documents saved as un-indexed TIFF/JPEG blobs; no searchable text layer; historical jurisprudence remains completely dark.,Bangla Legal OCR; Document Layout Analysis; Vector Embedding Database; Distributed Edge Pipeline,10,10,Antigravity,1
MPRB-0130,PRB-V-004,Siloed and Incompatible Case Taxonomies Between Civil and Criminal Justice Systems,V. Data Management Problems,Supreme Court Registry; Ministry of Home Affairs; Law Commission,"Civil courts classify disputes by civil suit types (Title Suit, Money Suit, Artha Rin); criminal courts classify by penal code sections; no cross-domain relationship tracking.",7,9,7,8,"Unified Legal Dispute Ontology & Cross-Domain Knowledge Graph linking civil, criminal, and ADR matters involving identical parties and land.",Ad-hoc manual cross-referencing by lawyers in written arguments.,Unable to discover that a criminal assault case (Penal Code 326) and a civil eviction suit (CPC Order VII) stem from the exact same plot dispute.,OWL/RDF Legal Ontology; Knowledge Graph Engine; Entity Resolution; Cross-Domain Linking,3,9,Antigravity,1
MPRB-0131,PRB-V-005,Inadequate Data Retention and Disposal Protocols for Expunged or Acquitted Records,V. Data Management Problems,Acquitted Citizens; Police Verification Desks; Job Applicants,No digital expungement protocol; criminal charges remain in police Special Branch (SB) verification databases forever despite honorable court acquittals.,8,8,9,8,Automated Judicial Acquittal Sync & Criminal Record Expungement Bridge clearing police background databases upon final verdict.,Submitting physical certified copies of acquittal orders to Special Branch during passport/job verification.,Citizens subjected to extortion by police verification officers; denied government jobs and passports due to un-expunged acquitted charges.,Automated Expungement Trigger; Police SB Database Webhook; Cryptographic Clearance Token; Audit Log,3,10,Antigravity,1
MPRB-0132,PRB-V-006,Unstructured Free-Text Judgments Preventing Automated Legal Analytics and Research,V. Data Management Problems,Legal Tech Developers; Supreme Court Researchers; Academics,"Judgments are published as monolithic, unstructured Word or PDF documents without structured metadata tagging (parties, ratio, obiter, statutes cited).",7,10,8,9,Open Legal Schema Transformer (Akoma Ntoso compliant) automatically parsing unstructured Bangladeshi judgments into structured XML/JSON.,"Manual editorial headnoting by private law journals (DLR, BLC); commercial law software summaries.","Commercial tools are proprietary, expensive, and updated with years of delay; open-source legal AI innovation is throttled.",Akoma Ntoso Legal XML; Named Entity Recognition (NER); Legal Document Segmentation; Open API,10,9,Antigravity,1
MPRB-0133,PRB-W-001,Fictitious and Exaggerated Monthly Disposal Statistics Submitted by Subordinate Judges,W. Reporting Problems,Supreme Court Registrar General; High Court Inspection Benches; Subordinate Judges,"Judges face intense administrative pressure to meet monthly quantitative disposal targets; to avoid reprimands, they log perfunctory dismissals as full trials.",9,9,9,8,"Autonomous Judicial Disposal Quality Auditor analyzing trial duration, order depth, and contested testimony to score genuine disposals.",Annual physical inspection visits by High Court judges; spot checks of disposal khatas.,High Court judges inspect only a fraction of courts; paper disposal summaries mask the reality that zero substantive trials took place.,Disposal Quality Classifier; Order Sheet NLP Scrutiny; Statistical Anomaly Detection; Auditing Dashboard,6,9,Antigravity,1
MPRB-0134,PRB-W-002,Lagging Quarterly Legal Aid Performance Metrics Disconnected from Operational Reality,W. Reporting Problems,NLASO Director; Law Ministry Planning Wing; Development Partners,"DLAO staff spend the first week of every quarter manually compiling 20-column paper statistical forms (Form A, B, C) sent via physical postal mail.",7,8,7,8,Real-Time National Legal Aid Operations Command Center generating automated live dashboards directly from daily intake entries.,Mailing paper reports; emailing scanned Excel sheets to NLASO head office.,National legal aid reports are 6 to 9 months out of date; leadership cannot make timely resource shifts or intervene in crisis districts.,Automated Aggregation Pipeline; Live Business Intelligence Dashboard; Drill-Down Analytics; Automated Form Assembly,6,9,Antigravity,1
MPRB-0135,PRB-W-003,Inability to Monitor and Quantify Gender-Disaggregated Justice Outcomes,W. Reporting Problems,Ministry of Women & Children Affairs; UNDP Gender Teams; Judicial Statistics Wing,"Court registers record party names without mandatory standardized gender, socio-economic, or vulnerability tagging.",8,9,8,8,Automated Gender & Vulnerability Analytics Engine parsing party profiles to generate real-time SDG 5.2 / SDG 16.3 compliance metrics.,Manual academic sampling of court records; NGO project surveys.,Policymakers have zero macro-level data on conviction rates in female inheritance disputes or gendered bail success rates.,Gender-Disaggregated Analytics; NER Demographic Inference; SDG Compliance Dashboard; Data Visualization,5,9,Antigravity,1
MPRB-0136,PRB-W-004,Absence of Public Transparency Reports on Judicial Discipline and Corruption Inquiries,W. Reporting Problems,Supreme Judicial Council / Law Ministry; Civil Society; Litigants,"Inquiries into judicial misconduct, corruption, and disciplinary proceedings against subordinate judges are conducted in absolute administrative secrecy.",8,8,9,7,Public Judicial Integrity & Disciplinary Redressal Transparency Portal publishing anonymized complaint disposal statistics.,Confidential departmental proceedings; occasional gazette notifications of compulsory retirement.,Public has zero visibility into whether complaints against corrupt judges or clerks are investigated; erodes institutional legitimacy.,Transparency Portal; Anonymized Case Tracker; Public Whistleblower Log; Audit Reporting Engine,5,9,Antigravity,1
MPRB-0137,PRB-W-005,Lack of Standardized Environmental Justice and Forest Crime Reporting Tools,W. Reporting Problems,Forest Department; Department of Environment (DoE); Environment Courts; NGOs (BELA),"Environmental pollution, river encroachment, and illegal hill cutting offenses are prosecuted in specialized Environment Courts with fragmented paper reporting.",8,8,9,8,Environmental Crime & River Encroachment Telemetry Hub cross-referencing satellite deforestation/water data with court prosecution dockets.,DoE inspection reports; public interest litigation (PIL) by BELA; manual complaint registers.,Polluters exploit reporting delays to destroy evidence; no correlation between satellite ecological degradation and filed environmental cases.,Earth Observation Satellite API; GIS Encroachment Detection; Automated Environmental Case Dispatch; PIL Evidence Locker,3,10,Antigravity,1
MPRB-0138,PRB-W-006,"Ineffective Tracking of International Human Rights Treaty Obligations (CAT, CEDAW, CRC)",W. Reporting Problems,National Human Rights Commission (NHRC); Ministry of Foreign Affairs; UN Treaty Bodies,"Compiling periodic state reports for UN committees requires manually collecting data across 64 districts, 600+ courts, and 68 prisons.",7,7,7,8,"National Human Rights Treaty Reporting Aggregator pulling continuous metrics from justice, police, and prison databases for UN compliance.",Inter-ministerial ad-hoc drafting committees; NGO shadow reports; consultant-driven report writing.,State reports are submitted years late or contain vague assertions lacking empirical data; findings of torture or child detention go unquantified.,Treaty Compliance Framework; Multi-Source Data Aggregator; Automated Indicator Generator; NHRC Reporting Bus,5,8,Antigravity,1
MPRB-0139,PRB-X-001,Opaque Daily Courtroom File Call-Up Ordering (The 'Bench Slip' Favoritism),X. Transparency Problems,Junior Lawyers; Unconnected Litigants; Bench Clerks (Peshkar); Senior Bar Leaders,Judges and clerks do not call cases in the printed cause list order; cases are taken up out of turn based on informal private slips handed by powerful lawyers.,9,10,9,8,Public Digital Courtroom Call-Up Board & Queue Lock System displaying live calling order on outdoor screens and mobile web.,Junior lawyers waiting on their feet all day; arguing with clerks; bar council informal guidelines.,Poorer litigants' cases pushed to 4:00 PM and summarily adjourned without hearing; corrupt monopoly of court time by senior advocates.,Public Display Queue System; Deterministic Queue Lock; Mobile Real-Time Ticker; Anti-Tamper Audit,3,10,Antigravity,1
MPRB-0140,PRB-X-002,Total Absence of Public Fee Schedules for Pro-Bono vs Private Legal Representation,X. Transparency Problems,General Litigants; Bar Associations; Legal Consumers,"Lawyers operate without mandatory fee disclosure, written retainers, or itemized receipts; fees are arbitrary, cash-based, and opaque.",8,10,8,8,Transparent Legal Fee Estimator & Written Retainer Generator establishing benchmark fee ranges and mandatory milestone escrow.,Verbal bargaining; asking acquaintances for lawyer fee estimates.,Clients are drained of life savings through surprise fee demands at every hearing date; fear of advocate abandonment forces compliance.,Transparent Fee Calculator; Digital Retainer Assembly; Escrow Milestone Payout; Bar Council Compliance,3,10,Antigravity,1
